source_area,linz_suburb,status,via,reason_if_not_mapped
Torbay,Torbay,mapped,exact,
Totara Heights,Totara Heights,mapped,exact,
Totara Vale North,Ōtara,mapped,previous-mapping,
Totara Vale South,Ōtara,mapped,previous-mapping,
Totora-Kopu,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Tuakau Rural,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Turanga,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Tuscany Heights,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Unsworth Heights East,Unsworth Heights,mapped,strip-direction,
Unsworth Heights West,Unsworth Heights,mapped,strip-direction,
Victoria Park,Auckland Central,mapped,previous-mapping,
Vipond,,not mapped,,outer Auckland — outside coverage area
Waiake,Waiake,mapped,exact,
Waiatarua,Waiatarua,mapped,exact,
Waiheke East,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Waihi East,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Waihi North,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Waihi Rural,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Waihi South,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Waikowhai North,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Waikowhai South,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Waima-Woodlands Park,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Waimauku,,not mapped,,outer Auckland — outside coverage area
Wainui-Waiwera,,not mapped,,outer Auckland — outside coverage area
Waitakere Ranges South,Waitākere,mapped,previous-mapping,
Waitoki,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Waiuku Central,,not mapped,,outer Auckland — outside coverage area
Waiuku East,,not mapped,,outer Auckland — outside coverage area
Warkworth East,,not mapped,,outer Auckland — outside coverage area
Warkworth West,,not mapped,,outer Auckland — outside coverage area
Waterview,Waterview,mapped,exact,
Wattle Downs East,Wattle Downs,mapped,strip-direction,
Wattle Downs North,Wattle Downs,mapped,strip-direction,
Wattle Downs West,Wattle Downs,mapped,strip-direction,
Wellsford,,not mapped,,outer Auckland — outside coverage area
Wesley East,Wesley,mapped,strip-direction,
Wesley West,Wesley,mapped,strip-direction,
West Harbour Clearwater Cove,West Harbour,mapped,previous-mapping,
West Harbour Luckens Point,West Harbour,mapped,previous-mapping,
West Harbour West,West Harbour,mapped,previous-mapping,
West Lynn,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Western Heights (Auckland),,not mapped,,outside 62 suburb coverage — small area or low rental activity
Westgate South,Westgate,mapped,strip-direction,
Westlake,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Westmere North,Westmere,mapped,strip-direction,
Westmere South-Western Springs,Westmere,mapped,strip-direction,
Weymouth East,Weymouth,mapped,strip-direction,
Weymouth North,Weymouth,mapped,strip-direction,
Weymouth South,Weymouth,mapped,strip-direction,
Whangamata,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Whangaparoa Central,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Whenuapai,Whenuapai,mapped,exact,
Whitianga North,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Whitianga South,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Windsor Park,Windsor Park,mapped,exact,
Wiri East,Wiri,mapped,strip-direction,
Wiri West,Wiri,mapped,strip-direction,
Wynyard-Viaduct,Auckland Central,mapped,previous-mapping,
