source_area,master_suburb,status,reason_if_not_mapped
The Strand,,not mapped,outside 62 suburb coverage — small area or low rental activity
Tindalls-Matakatia,,not mapped,outside 62 suburb coverage — small area or low rental activity
Torbay,,not mapped,outer Auckland — outside coverage area
Totora-Kopu,,not mapped,outside 62 suburb coverage — small area or low rental activity
Tuakau Rural,,not mapped,outside 62 suburb coverage — small area or low rental activity
Turanga,,not mapped,outside 62 suburb coverage — small area or low rental activity
Tuscany Heights,,not mapped,outside 62 suburb coverage — small area or low rental activity
Unsworth Heights East,,not mapped,outside 62 suburb coverage — small area or low rental activity
Unsworth Heights West,,not mapped,outside 62 suburb coverage — small area or low rental activity
Vipond,,not mapped,outer Auckland — outside coverage area
Waiake,,not mapped,outside 62 suburb coverage — small area or low rental activity
Waiatarua,,not mapped,outside 62 suburb coverage — small area or low rental activity
Waiheke East,,not mapped,outside 62 suburb coverage — small area or low rental activity
Waihi East,,not mapped,outside 62 suburb coverage — small area or low rental activity
Waihi North,,not mapped,outside 62 suburb coverage — small area or low rental activity
Waihi Rural,,not mapped,outside 62 suburb coverage — small area or low rental activity
Waihi South,,not mapped,outside 62 suburb coverage — small area or low rental activity
Waikowhai North,,not mapped,outside 62 suburb coverage — small area or low rental activity
Waikowhai South,,not mapped,outside 62 suburb coverage — small area or low rental activity
Waima-Woodlands Park,,not mapped,outside 62 suburb coverage — small area or low rental activity
Waimauku,,not mapped,outer Auckland — outside coverage area
Wainui-Waiwera,,not mapped,outer Auckland — outside coverage area
Waitoki,,not mapped,outside 62 suburb coverage — small area or low rental activity
Waiuku Central,,not mapped,outer Auckland — outside coverage area
Waiuku East,,not mapped,outer Auckland — outside coverage area
Warkworth East,,not mapped,outer Auckland — outside coverage area
Warkworth West,,not mapped,outer Auckland — outside coverage area
Wattle Downs East,,not mapped,outer Auckland — outside coverage area
Wattle Downs North,,not mapped,outer Auckland — outside coverage area
Wattle Downs West,,not mapped,outer Auckland — outside coverage area
Wellsford,,not mapped,outer Auckland — outside coverage area
Wesley East,,not mapped,outside 62 suburb coverage — small area or low rental activity
Wesley West,,not mapped,outside 62 suburb coverage — small area or low rental activity
West Lynn,,not mapped,outside 62 suburb coverage — small area or low rental activity
Western Heights (Auckland),,not mapped,outside 62 suburb coverage — small area or low rental activity
Westgate South,,not mapped,outside 62 suburb coverage — small area or low rental activity
Westlake,,not mapped,outside 62 suburb coverage — small area or low rental activity
Westmere North,,not mapped,outside 62 suburb coverage — small area or low rental activity
Westmere South-Western Springs,,not mapped,outside 62 suburb coverage — small area or low rental activity
Weymouth East,,not mapped,outer Auckland — outside coverage area
Weymouth North,,not mapped,outer Auckland — outside coverage area
Weymouth South,,not mapped,outer Auckland — outside coverage area
Whangamata,,not mapped,outside 62 suburb coverage — small area or low rental activity
Whangaparoa Central,,not mapped,outside 62 suburb coverage — small area or low rental activity
Whenuapai,,not mapped,outside 62 suburb coverage — small area or low rental activity
Whitianga North,,not mapped,outside 62 suburb coverage — small area or low rental activity
Whitianga South,,not mapped,outside 62 suburb coverage — small area or low rental activity
Windsor Park,,not mapped,outside 62 suburb coverage — small area or low rental activity
Wiri East,,not mapped,outside 62 suburb coverage — small area or low rental activity
Wiri West,,not mapped,outside 62 suburb coverage — small area or low rental activity
